Idx,tradeDate,preClosePrice,openPrice,highestPrice,lowestPrice,closePrice,negMarketValue,turnoverValue,dealAmount,turnoverRate
0,2011-01-04,2.732,2.748,2.77,2.716,2.759,1.14519144102e+11,702120320,26610,0.0062
1,2011-01-05,2.759,2.748,2.77,2.721,2.743,1.1384151603e+11,604131580,20693,0.0053
2,2011-01-06,2.743,2.737,2.759,2.732,2.737,1.13615640007e+11,368008288,17281,0.0032
3,2011-01-07,2.737,0.0,0.0,0.0,2.737,1.13615640007e+11,0,0,0.0
4,2011-01-10,2.737,2.77,2.808,2.759,2.765,1.14745020126e+11,1559481470,56836,0.0135
5,2011-01-11,2.765,2.759,2.808,2.754,2.786,1.15648524221e+11,871165250,34348,0.0075
6,2011-01-12,2.786,2.797,2.808,2.77,2.803,1.16326152293e+11,1105683330,28611,0.0095
7,2011-01-13,2.803,2.814,2.825,2.786,2.797,1.16100276269e+11,462207072,17026,0.004
8,2011-01-14,2.797,2.797,2.797,2.77,2.776,1.15196772174e+11,411189472,16247,0.0036
9,2011-01-17,2.776,2.765,2.781,2.716,2.727,1.13163887959e+11,669911740,29904,0.0059
10,2011-01-18,2.727,2.721,2.732,2.705,2.716,1.12712135911e+11,445823104,21034,0.004
11,2011-01-19,2.716,2.716,2.732,2.705,2.727,1.13163887959e+11,344984448,17011,0.0031
12,2011-01-20,2.727,2.727,2.748,2.678,2.688,1.11582755792e+11,553891710,27530,0.0049
13,2011-01-21,2.688,2.683,2.759,2.678,2.721,1.12938011935e+11,571341250,21527,0.0051
14,2011-01-24,2.721,2.716,2.732,2.688,2.705,1.12260383863e+11,506200384,18591,0.0045
15,2011-01-25,2.705,2.699,2.721,2.683,2.705,1.12260383863e+11,512765888,15914,0.0046
16,2011-01-26,2.705,2.705,2.721,2.699,2.716,1.12712135911e+11,279773920,10190,0.0025
17,2011-01-27,2.716,2.699,2.737,2.688,2.727,1.13163887959e+11,597759040,18769,0.0053
18,2011-01-28,2.727,2.721,2.732,2.705,2.716,1.12712135911e+11,336122144,12058,0.003
19,2011-01-31,2.716,2.716,2.743,2.71,2.737,1.13615640007e+11,478759488,15989,0.0042
20,2011-02-01,2.737,2.737,2.77,2.732,2.759,1.14519144102e+11,346893440,15877,0.003
21,2011-02-09,2.759,2.748,2.765,2.737,2.737,1.13615640007e+11,369123456,12485,0.0032
22,2011-02-10,2.737,2.737,2.792,2.737,2.786,1.15648524221e+11,529540512,20638,0.0046
23,2011-02-11,2.786,2.781,2.792,2.765,2.781,1.15422648198e+11,438410752,14736,0.0038
24,2011-02-14,2.781,2.781,2.841,2.781,2.841,1.1790728446e+11,1267626370,48230,0.0108
25,2011-02-15,2.841,2.835,2.846,2.814,2.819,1.17003780365e+11,730950270,26303,0.0062
26,2011-02-16,2.819,2.819,2.825,2.77,2.797,1.16100276269e+11,1362102660,42998,0.0118
27,2011-02-17,2.797,2.792,2.825,2.781,2.803,1.16326152293e+11,765765060,26333,0.0066
28,2011-02-18,2.803,2.797,2.803,2.776,2.803,1.16326152293e+11,532341888,16990,0.0046
29,2011-02-21,2.803,2.792,2.825,2.776,2.819,1.17003780365e+11,873961660,24530,0.0075
30,2011-02-22,2.819,2.819,2.819,2.77,2.776,1.15196772174e+11,911342780,24567,0.0079
31,2011-02-23,2.776,2.77,2.792,2.77,2.776,1.15196772174e+11,360622496,12764,0.0031
32,2011-02-24,2.776,2.776,2.776,2.759,2.77,1.1497089615e+11,422967712,16746,0.0037
33,2011-02-25,2.77,0.0,0.0,0.0,2.77,1.1497089615e+11,0,0,0.0
34,2011-02-28,2.77,2.792,2.808,2.776,2.781,1.15422648198e+11,643166400,16952,0.0056
35,2011-03-01,2.781,2.786,2.814,2.781,2.803,1.16326152293e+11,630186620,23021,0.0054
36,2011-03-02,2.803,2.792,2.863,2.781,2.83,1.17455532412e+11,1185218050,42959,0.0101
37,2011-03-03,2.83,2.841,2.95,2.835,2.879,1.19488416627e+11,2519412480,102201,0.0209
38,2011-03-04,2.879,2.884,2.933,2.868,2.912,1.2084367277e+11,955162940,35071,0.0079
